Elapsed Time,Distance,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade
2926,8.25,2903,8252.5,7.099999905,225.6452789,131.6999969,236.1999969,35.40000153,0.01817631
4501,9.14,4305,9147.799805,8,475.0490112,160.1999969,621.7999878,49.70000076,0.022956301
22657,12.42,20763,12421.7002,14.39999962,1139.050049,1485.199951,1989.099976,49.59999847,-0.0128807
19004,11.93,18765,11935.2998,7.900000095,1413.72998,695.5999756,1881.599976,49.70000076,0.0578117
526,1.53,526,1536.300049,3.700000048,16.93636322,133,150,9,0.35800299
12776,17.82,9982,17820.90039,4.699999809,1309.27002,235,982.2000122,49.79999924,-0.048819099
5916,1.61,1236,1617.599976,9.399999619,231.0619965,2828,3077.399902,49.79999924,14.94810009
10487,3.66,5168,3663,1.299999952,978.1519775,2113.399902,3098.199951,49.70000076,26.83869934
8393,15.86,6296,15859.2998,5.199999809,439.8330078,803,1287.900024,34.90000153,-0.853757977
9262,6.42,3962,6423.200195,9.399999619,426.5570068,1936,2365.300049,40.59999847,-0.133890003
40828,19.52,10377,19523.80078,11.60000038,717.5419922,1421.400024,2077.699951,50,-0.081951298
47997,10.79,5964,10798.7002,16.70000076,701.1359863,2272.100098,2740.300049,48.20000076,-0.0907517
19132,9.58,6010,9580.900391,10.89999962,814.2329712,2282.300049,2883.699951,47.90000153,-0.0135687
101156,47.29,27131,47293.80078,11.69999981,2355.26001,737,2398.600098,49.29999924,-0.785727024
5186,5.41,4218,5413.899902,1.899999976,242.0359955,925.0999756,1135,39.5,3.877059937
28599,17.62,10406,17625.40039,4.199999809,565.8959961,1942.599976,2267.800049,31.79999924,1.826910019
9560,20.32,8786,20323.90039,5,269.1589966,1651.400024,1750.699951,17.79999924,-0.0265697
14264,42.16,14264,42164.80078,,121.9199982,,,,0
6781,21.08,6781,21082.40039,,457.2000122,,,,0
6907,21.08,6907,21082.40039,,457.2000122,,,,0
3582,8.85,3582,8851.389648,,457.2000122,,,,0
4320,11.26,4320,11265.40039,,304.7999878,,,,0
19146,15.93,19146,15932.5,,1139.949951,,,,0
4843,11.75,4132,11750.40039,11.19999981,269.1484985,132,240,45.09999847,0.00170207
19402,13.08,16092,13085.90039,8,1166.079956,788.5999756,1639.900024,49,-0.022161299
35933,19.16,34420,19166.90039,7.900000095,2246.47998,2109,4299,50,-0.000521733
169,0.23,169,237.6999969,3,13.3032999,3.099999905,20.10000038,43.70000076,-0.252418995
3621,9.58,3497,9588.599609,3.200000048,2.664999962,1.600000024,10.69999981,13,-0.0250297
3978,8.63,2548,8633.400391,6.099999905,38.66270065,130.3000031,150,18.70000076,0
2712,8.9,2711,8899.799805,6.199999809,27.57029915,127.5999985,137.5,18.10000038,0.00337086
10409,24.29,8922,24291,6.199999809,878.0750122,145,466.2999878,48.90000153,0
3369,9.73,3224,9738.900391,5.800000191,232.8410034,132.8000031,236.1999969,43.59999847,0
3000,10.08,2982,10082.7998,4.5,88,123,145,20,0.059507299
6419,4.15,3153,4155.899902,3.299999952,253.5740051,124.8000031,331,49,-0.137153998
8008,5.48,4145,5483.5,4.099999905,137.9290009,5.400000095,69.40000153,49.5,0.441323996
4690,11.53,4233,11532.09961,4.599999905,291.0701294,131.8999939,299.5,37.5,0.000867145
4281,9.06,3705,9066.200195,6.599999905,488.8207092,160.3999939,623,50,0.011029979
5128,12.5,3954,12506.59961,5.699999809,147,125,156,40.29999924,-0.055970449
2089,6.29,2086,6296.799805,4.800000191,77,130,162,27,-0.11116758
3558,9.37,3233,9372.200195,7.099999905,123.1479797,1102.199951,1217,36.59999847,-0.019205736
8518,16.89,7574,16894.5,5.900000095,797.3642578,145.3000031,466.2999878,49.40000153,0.000591909
11355,26.32,10511,26323.5,6.199999809,818.9380493,130,623.0999756,49,-0.000379889
5446,9.41,4070,9411.799805,4.699999809,238.3365631,132.8999939,237.5,40,-0.01062496
5979,12.66,5594,12663.2998,3.599999905,526.0109253,145,380.7000122,46.20000076,0.005527785
3702,2.29,1151,2295.399902,3.799999952,234,811,985,49.59999847,0.130696177
10378,22.46,9511,22463.90039,4.699999809,839.9293213,130,623.7000122,49.59999847,0.000445159
2483,7.31,2459,7311.399902,6.5,207.6664581,157.1000061,377.2000122,48.20000076,-1.587931156
2300,8.1,2300,8103.700195,5.400000095,64,169,247,14.10000038,-0.691042364
1670,3.07,1637,3072.5,3.099999905,3,1162,1424,16.79999924,-8.527259827
36265,44.53,28797,44529.5,3.700000048,2255.330078,960.0999756,1493.099976,49.59999847,0.69055301
1800,3.21,1800,3218.689941,,,,,,0
2611,6.88,2592,6886.600098,3.700000048,95.40000153,127,144,20,0.116168
3213,6.95,3153,6952.5,4.599999905,303,164,379,44.90000153,0.057533301
1605,4.44,1596,4439.799805,5.199999809,81,128,185.6000061,27.29999924,-1.139690042
3210,7.01,2836,7013.700195,4.900000095,192,136,250,36.09999847,-0.02851562
8573,17.05,7595,17052.5,9.199999809,1162.390015,294.2999878,1298.400024,50,-0.00527782
3007,8.67,3004,8675.200195,4.900000095,117,126,150,28.79999924,0
3550,8.57,3532,8572.5,4.599999905,206.8040619,131.8999939,243.3000031,37.5,-0.003499563
4845,9.78,4547,9785.299805,5.599999905,484,156,626,48.79999924,0.275923997
6399,19.55,6300,19550.30078,10.60000038,478.6013489,293.8999939,464.7000122,49.20000076,-0.005115011
844,2.17,799,2177.600098,4.900000095,54,417,437,23.10000038,0.275532693
12928,8.29,3081,8293.299805,14.60000038,666,1484,2040,48.20000076,0.477493882
2475,7.02,2465,7027.799805,4.900000095,20.60099983,127.5999985,135.3999939,13.69999981,0.00426876
17736,29.22,13736,29220.40039,6.199999809,1514.163818,277.5,1308.599976,49.5,0.002395587
1440,4.82,1440,4828,,,,,,0
2248,5.72,2246,5728.200195,3.900000095,16.77440071,125.8000031,133.1000061,9,-0.00523725
3970,8.14,3846,8140.600098,4.199999809,380.3511353,144.6000061,466.2999878,48.20000076,0.060192123
3863,9.4,3153,9404.5,4.900000095,62,127,142,47.59999847,0
2238,6.61,2235,6613,4,76,140,153,20,0.090730377
4995,8.13,3824,8135.100098,4.599999905,587.2686157,296.3999939,623.0999756,49.5,0.014750894
4700,9.83,4394,9836.900391,5.300000191,485,163,620,49,0.172819003
11266,18.57,8355,18576.5,8.100000381,1121.459961,795.2000122,1286.699951,49.59999847,0.0118429
3269,9.55,3203,9556.799805,4.800000191,101,126,196.3999939,35.09999847,-0.652938008
2647,6.72,2633,6723.700195,4.599999905,147.7129364,132.8999939,236.1999969,38.5,0.016360041
780,2.09,777,2089.600098,4.099999905,38,122,155,36.70000076,-0.287136286
3380,9.76,3219,9764.299805,5.300000191,148,125,173,44.20000076,-0.32772401
4322,10.16,3222,10159.09961,5,124.4000015,127,158,47.59999847,-0.177181005
3581,8.62,3346,8619.5,4,243,135,247,37.5,-0.255235225
6698,14.1,6429,14105.90039,5.099999905,596,151,467,44.79999924,0.014178464
3356,8.47,2802,8475,8.800000191,106,126,158,29.10000038,-0.24778761
1993,5.68,1930,5684.399902,4.199999809,84,125,149.6000061,19,-0.221659273
9663,16.81,8592,16810,6.400000095,1010,310,1309,46.90000153,-0.077334918
5556,14.9,5386,14904,6.599999905,327,127,332,46.20000076,0.087224908
1922,5.71,1918,5713,11.5,69,126,262,16.70000076,-2.22300005
5468,12.88,5120,12881,5,467,144,458,44.40000153,0.00776337
26456,8.26,4998,8260,8.399999619,720.4000244,1632,2080,50,-0.266344011
8787,8.61,5396,8617,3.599999905,193,1215,1242,49.5,-0.0232099
2627,3.21,2223,3215,3.299999952,123,1214,1246,49.5,-0.186625198
15249,10.83,8259,10837,3.299999952,655.3499756,1304.300049,1863.199951,49.5,-0.0138415
4467,9.67,4298,9669,6.599999905,476.2510071,159,620.5,49.5,0.026890101
5646,8,2918,8007,4,128,885,919,33.29999924,0.082427897
20495,8.45,6913,8450,7.199999809,951.5999756,2019,2694,49.5,6.35503006
5149,2.47,1881,2471,6.400000095,215.2980042,2548.300049,2681.600098,50,0
4037,5.53,1788,5536,10.60000038,64,2011,2574,49.5,-9.664019585
25785,17.15,9750,17157,9.5,953.5969849,2537.100098,2782.300049,49.59999847,-0.049542502
21384,6.09,5189,6095,6.5,774.4429932,2499.199951,2681.800049,49.5,-0.408531994
2819,7.52,2512,7524,6.099999905,185,133,250,42.90000153,-0.093035616
1472,4.89,1464,4894,4.900000095,17.4612999,125.8000031,133.5,23.10000038,0.030649776
4698,9.81,4238,9812.5,7.099999905,471,165,620,47.09999847,0.142675161
3639,8.27,2539,8270,5.400000095,65,130,142,42.90000153,0.048367593
16144,28.99,14828,28996,6.199999809,1635,268,1405,49,-0.058628775
3152,7.68,3102,7681,5.199999809,234,135,247,40,0.039057415
4472,9.56,3922,9567,7.099999905,485.2000122,161,614,45,0.209051952
3142,8.9,3132,8905,6.300000191,141,89,140,33.29999924,0.505334079
8592,18.27,7667,18278,6.199999809,725.3413696,144.8000031,466.2999878,47.59999847,0.002735529
4937,11.39,4891,11397,6,497.9893188,158.8000031,377.2000122,46.20000076,-0.000877424
3679,8.75,2786,8750,6.599999905,75.59999847,123,140,37.5,0.159999996
4616,9.66,4250,9666,5.599999905,472.6065063,159.1999969,620.5,47.59999847,0.020691082
2703,6.82,2690,6826,4,192,132,247,44.40000153,0.087899208
13358,23.71,10126,23716,5.599999905,1096.01001,295.2000122,1090.5,49.5,0.000843313
3942,11.76,3925,11765,5.599999905,29.23419952,125.8000031,137.3000031,27.29999924,-0.0118997
6044,15.35,5912,15352,5,382.7314453,133.1999969,377.2000122,47.59999847,-0.001302762
3493,6.2,3176,6206,6.199999809,307,18,265,46,-0.00966806
4438,9.15,3711,9158,4.800000191,79,-19,14,45.5,0.251147002
4165,11.95,4086,11955,7.800000191,31.92334938,125.8000031,137.3000031,33.29999924,-0.016729401
4534,9.62,4198,9623,5.300000191,468.5130005,160.1000061,620.5,48.5,0.0114309
2408,6.72,2307,6727,6.199999809,163,133,254,41.79999924,-0.044596404
4069,9.02,3871,9025,5,355.0677795,160.3000031,377.2000122,44.40000153,0.013296399
13092,23.6,11740,23604,9.100000381,1523.032471,285.7999878,1298.400024,49.59999847,0.005083884
5082,13.84,4844,13842,8.399999619,49.0373497,125.8000031,152,30,-0.003612195
9044,2.55,863,2554,4,17.49428558,132,150.8000031,28.60000038,0.031323414
23020,13.39,9825,13395.59961,10.89999962,894.0916748,1947.599976,2466.199951,48.90000153,0
4565,9.75,4151,9754,4.699999809,486,165,619,45.5,0.205044091
3069,8.46,2955,8462,6.400000095,196.9798737,131.8999939,236.1999969,44.40000153,-0.003545261
6099,13.63,5642,13637.5,4.400000095,446,136,306,45.5,-0.014665444
8364,14.39,7455,14392,6.199999809,1148.597046,288.6000061,1298.400024,49.5,-0.018760422
40730,11.01,8153,11009,9.5,1190.85022,1792.5,2840.600098,49.79999924,0.14079389
5133,11.81,5030,11810,5,448.3822327,255.3999939,382.8999939,42.90000153,-0.00592718
3386,9.3,3267,9305,3.599999905,72,134,164,20,0.042987641
4665,9.78,4352,9788,5.5,483,154,617,49,0.214548424
26796,13.45,11625,13449,4.300000191,1550.762939,1522.300049,2041.599976,50,0.121942155
4697,9.76,4531,9760,5.400000095,477,157,617,45.5,0.245901644
2914,9.02,2742,9028,5.599999905,112,127,147,30,0.099689856
8250,14.91,6486,14910,6.599999905,729,265,621,49,0.120724343
27288,11.25,8177,11258,2.400000095,1131.50293,1519.199951,2041.5,50,-0.007994316
3149,8.91,3084,8914,5,91,127,188,48,-0.578864694
4454,9.92,4277,9923,5.800000191,471,162,618,48.5,0.191474348
2995,8.15,2952,8150,7.800000191,207,134,246,33.29999924,-0.08588957
27018,12.72,11991,12721,8.399999619,1699.800049,1543,2040.900024,49.79999924,0.003144407
7510,17.72,6919,17722,7.599999905,649.5800171,256.6000061,383,46.29999924,0.00056427
4916,8.35,4026,8356,5.699999809,716.9526367,364.6000061,623.2000122,49.5,0
3453,11.23,3179,11230,6.199999809,111,126,150,31.29999924,-0.017809439
4372,9.76,3848,9761,8.399999619,576.7999878,89,622,48.20000076,0.901546955
10521,2.73,1228,2734,3.799999952,240,2068,2265,49.5,-0.877834678
2005,2.43,1302,2437,5.599999905,52,2186,2200,33.29999924,-0.369306535
26791,10.02,6356,10026,15.39999962,956.203125,2173.800049,2601.300049,50,-0.056852184
27305,10.74,8410,10746,7.900000095,1052.064453,2176.699951,2626.899902,49.5,-0.039084312
7253,15.55,5539,15558,6.5,234.1840057,612,696,45.5,0
9166,18.68,7146,18687.5,8.800000191,383.4816284,583.4000244,692,49,0.032107022
7234,5.85,3733,5853,3,113.5130157,630,685,49.29999924,0.374167085
3603,9.3,3475,9302,3.799999952,151.1158752,596.2999878,660.7000122,28.60000038,0.046226617
25440,12.43,5115,12437,4.400000095,335,447,583,45.5,0.109351128
3545,10.04,3457,10046,5.400000095,177,615,674,47.59999847,0.029862631
4655,7.2,2733,7204,10.80000019,149,-4,29,34.20000076,-0.055524707
12993,18.68,8577,18685,6.199999809,867.2822266,98.90000153,488.8999939,48.40000153,0.432967633
21996,21.65,13764,21650,4.800000191,1429.385986,909,1991.5,48.5,-0.327482671
3973,8.5,2434,8508,6.199999809,69,125,137,33.29999924,0.047014575
28470,15.46,8800,15465,5.199999809,1750.471436,813,2521.699951,49.5,-0.00452635
3885,9.78,3696,9787,9.100000381,477,161,620,46,0.163482174
4967,12.92,4610,12924,5.199999809,262,116,243,42.90000153,0.077375427
6314,14.41,5339,14414.7998,5.199999809,472.020813,132.8999939,617.9000244,42.90000153,-0.184532568
1808,4.57,1483,4573.799805,5.300000191,21.10164833,130,152,8.899999619,-0.056845512
2100,8.04,2100,8046.700195,,,,,,0
3685,9.02,3414,9022.900391,4.800000191,218.8072815,132.8000031,239,34.79999924,-0.011082911
14667,25.66,11828,25663.69922,9.399999619,1562.628662,286,1298.400024,49.40000153,0.002337933
3694,9.47,3447,9477,4.599999905,159,126,206,44.40000153,-0.179381654
2586,10.02,2582,10027,6.900000095,18.87802124,124.0999985,132.3000031,37.5,0.003989229
2509,5.76,2415,5767,7.800000191,198.9732361,160.8999939,326.2000122,46.20000076,0.005202012
1150,1.94,1108,1945,3.200000048,56,131,183,48.09999847,-2.262210846
1426,2.23,1369,2231,3.799999952,13.09593964,129,139,45.5,0.152398035
